Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Event_Window,Event_Earnings_Date
2023-03-20,155.07000732421875,157.82000732421875,154.14999389648438,157.39999389648438,155.0094757080078,73641400,AAPL,0,
2023-03-21,157.32000732421875,159.39999389648438,156.5399932861328,159.27999877929688,156.8609161376953,73938300,AAPL,0,
2023-03-22,159.3000030517578,162.13999938964844,157.80999755859375,157.8300018310547,155.4329376220703,75701800,AAPL,0,
2023-03-23,158.8300018310547,161.5500030517578,157.67999267578125,158.92999267578125,156.5162353515625,67622100,AAPL,0,
2023-03-24,158.86000061035156,160.33999633789062,157.85000610351562,160.25,157.81617736816406,59196500,AAPL,0,
2023-03-27,159.94000244140625,160.77000427246094,157.8699951171875,158.27999877929688,155.87612915039062,52390300,AAPL,0,
2023-03-28,157.97000122070312,158.49000549316406,155.97999572753906,157.64999389648438,155.2556915283203,45992200,AAPL,0,
2023-03-29,159.3699951171875,161.0500030517578,159.35000610351562,160.77000427246094,158.3283233642578,51305700,AAPL,0,
2023-03-30,161.52999877929688,162.47000122070312,161.27000427246094,162.36000061035156,159.89414978027344,49501700,AAPL,0,
2023-03-31,162.44000244140625,165.0,161.91000366210938,164.89999389648438,162.39553833007812,68749800,AAPL,0,
2023-04-03,164.27000427246094,166.2899932861328,164.22000122070312,166.1699981689453,163.6462860107422,56976200,AAPL,0,
2023-04-04,166.60000610351562,166.83999633789062,165.11000061035156,165.6300048828125,163.11447143554688,46278300,AAPL,0,
2023-04-05,164.74000549316406,165.0500030517578,161.8000030517578,163.75999450683594,161.2728729248047,51511700,AAPL,0,
2023-04-06,162.42999267578125,164.9600067138672,162.0,164.66000366210938,162.15921020507812,45390100,AAPL,0,
2023-04-10,161.4199981689453,162.02999877929688,160.0800018310547,162.02999877929688,159.56919860839844,47716900,AAPL,0,
2023-04-11,162.35000610351562,162.36000061035156,160.50999450683594,160.8000030517578,158.3578338623047,47644200,AAPL,0,
2023-04-12,161.22000122070312,162.05999755859375,159.77999877929688,160.10000610351562,157.66847229003906,50133100,AAPL,0,
2023-04-13,161.6300048828125,165.8000030517578,161.4199981689453,165.55999755859375,163.04554748535156,68445600,AAPL,0,
2023-04-14,164.58999633789062,166.32000732421875,163.82000732421875,165.2100067138672,162.70089721679688,49386500,AAPL,0,
2023-04-17,165.08999633789062,165.38999938964844,164.02999877929688,165.22999572753906,162.72055053710938,41516200,AAPL,0,
2023-04-18,166.10000610351562,167.41000366210938,165.64999389648438,166.47000122070312,163.9416961669922,49923000,AAPL,0,
2023-04-19,165.8000030517578,168.16000366210938,165.5399932861328,167.6300048828125,165.0841064453125,47720200,AAPL,0,
2023-04-20,166.08999633789062,167.8699951171875,165.55999755859375,166.64999389648438,164.1189727783203,52456400,AAPL,1,2023-05-04
2023-04-21,165.0500030517578,166.4499969482422,164.49000549316406,165.02000427246094,162.51376342773438,58337300,AAPL,1,2023-05-04
2023-04-24,165.0,165.60000610351562,163.88999938964844,165.3300018310547,162.8190460205078,41949600,AAPL,1,2023-05-04
2023-04-25,165.19000244140625,166.30999755859375,163.72999572753906,163.77000427246094,161.28273010253906,48714100,AAPL,1,2023-05-04
2023-04-26,163.05999755859375,165.27999877929688,162.8000030517578,163.75999450683594,161.2728729248047,45498800,AAPL,1,2023-05-04
2023-04-27,165.19000244140625,168.55999755859375,165.19000244140625,168.41000366210938,165.85223388671875,64902300,AAPL,1,2023-05-04
2023-04-28,168.49000549316406,169.85000610351562,167.8800048828125,169.67999267578125,167.10296630859375,55275900,AAPL,1,2023-05-04
2023-05-01,169.27999877929688,170.4499969482422,168.63999938964844,169.58999633789062,167.0143280029297,52472900,AAPL,1,2023-05-04
2023-05-02,170.08999633789062,170.35000610351562,167.5399932861328,168.5399932861328,165.98028564453125,48425700,AAPL,1,2023-05-04
2023-05-03,169.5,170.9199981689453,167.16000366210938,167.4499969482422,164.90684509277344,65136000,AAPL,1,2023-05-04
2023-05-04,164.88999938964844,167.0399932861328,164.30999755859375,165.7899932861328,163.27203369140625,81235400,AAPL,0,
2023-05-05,170.97999572753906,174.3000030517578,170.75999450683594,173.57000732421875,170.93386840820312,113453200,AAPL,0,
2023-05-08,172.47999572753906,173.85000610351562,172.11000061035156,173.5,170.86497497558594,55962800,AAPL,0,
2023-05-09,173.0500030517578,173.5399932861328,171.60000610351562,171.77000427246094,169.16123962402344,45326900,AAPL,0,
2023-05-10,173.02000427246094,174.02999877929688,171.89999389648438,173.55999755859375,170.92404174804688,53724500,AAPL,0,
2023-05-11,173.85000610351562,174.58999633789062,172.1699981689453,173.75,171.1111297607422,49514700,AAPL,0,
2023-05-12,173.6199951171875,174.05999755859375,171.0,172.57000732421875,170.18418884277344,45533100,AAPL,0,
2023-05-15,173.16000366210938,173.2100067138672,171.47000122070312,172.07000732421875,169.6910858154297,37266700,AAPL,0,
2023-05-16,171.99000549316406,173.13999938964844,171.8000030517578,172.07000732421875,169.6910858154297,42110300,AAPL,0,
2023-05-17,171.7100067138672,172.92999267578125,170.4199981689453,172.69000244140625,170.302490234375,57951600,AAPL,0,
2023-05-18,173.0,175.24000549316406,172.5800018310547,175.0500030517578,172.62985229492188,65496700,AAPL,0,
2023-05-19,176.38999938964844,176.38999938964844,174.94000244140625,175.16000366210938,172.7383575439453,55809500,AAPL,0,
2023-05-22,173.97999572753906,174.7100067138672,173.4499969482422,174.1999969482422,171.7915802001953,43570900,AAPL,0,
2023-05-23,173.1300048828125,173.3800048828125,171.27999877929688,171.55999755859375,169.1881103515625,50747300,AAPL,0,
2023-05-24,171.08999633789062,172.4199981689453,170.52000427246094,171.83999633789062,169.46424865722656,45143500,AAPL,0,
2023-05-25,172.41000366210938,173.89999389648438,171.69000244140625,172.99000549316406,170.5983428955078,56058300,AAPL,0,
2023-05-26,173.32000732421875,175.77000427246094,173.11000061035156,175.42999267578125,173.0045928955078,54835000,AAPL,0,
2023-05-30,176.9600067138672,178.99000549316406,176.57000732421875,177.3000030517578,174.8487548828125,55964400,AAPL,0,
2023-05-31,177.3300018310547,179.35000610351562,176.75999450683594,177.25,174.79946899414062,99625300,AAPL,0,
2023-06-01,177.6999969482422,180.1199951171875,176.92999267578125,180.08999633789062,177.60018920898438,68901800,AAPL,0,
2023-06-02,181.02999877929688,181.77999877929688,179.25999450683594,180.9499969482422,178.44827270507812,61996900,AAPL,0,
2023-06-05,182.6300048828125,184.9499969482422,178.0399932861328,179.5800018310547,177.0972442626953,121946500,AAPL,0,
2023-06-06,179.97000122070312,180.1199951171875,177.42999267578125,179.2100067138672,176.73233032226562,64848400,AAPL,0,
2023-06-07,178.44000244140625,181.2100067138672,177.32000732421875,177.82000732421875,175.36158752441406,61944600,AAPL,0,
2023-06-08,177.89999389648438,180.83999633789065,177.4600067138672,180.57000732421875,178.07354736328125,50214900,AAPL,0,
2023-06-09,181.5,182.22999572753903,180.6300048828125,180.9600067138672,178.4581756591797,48900000,AAPL,0,
2023-06-12,181.2700042724609,183.88999938964844,180.97000122070312,183.7899932861328,181.2490081787109,54274900,AAPL,0,
2023-06-13,182.8000030517578,184.1499938964844,182.44000244140625,183.30999755859372,180.77569580078125,54929100,AAPL,0,
2023-06-14,183.3699951171875,184.38999938964844,182.0200042724609,183.9499969482422,181.4068145751953,57462900,AAPL,0,
2023-06-15,183.9600067138672,186.5200042724609,183.77999877929688,186.00999450683597,183.43832397460935,65433200,AAPL,0,
2023-06-16,186.72999572753903,186.9900054931641,184.2700042724609,184.9199981689453,182.3634033203125,101256200,AAPL,0,
2023-06-20,184.41000366210935,186.1000061035156,184.41000366210935,185.00999450683597,182.45216369628903,49799100,AAPL,0,
2023-06-21,184.8999938964844,185.41000366210935,182.58999633789065,183.9600067138672,181.41668701171875,49515700,AAPL,0,
2023-06-22,183.7400054931641,187.0500030517578,183.6699981689453,187.0,184.41465759277344,51245300,AAPL,0,
2023-06-23,185.5500030517578,187.55999755859372,185.00999450683597,186.67999267578125,184.0990295410156,53117000,AAPL,0,
2023-06-26,186.8300018310547,188.0500030517578,185.22999572753903,185.2700042724609,182.70855712890625,48088700,AAPL,0,
2023-06-27,185.88999938964844,188.38999938964844,185.6699981689453,188.05999755859372,185.45999145507807,50730800,AAPL,0,
2023-06-28,187.92999267578125,189.8999938964844,187.6000061035156,189.25,186.6335601806641,51216800,AAPL,0,
2023-06-29,189.0800018310547,190.07000732421875,188.94000244140625,189.58999633789065,186.9688262939453,46347300,AAPL,0,
2023-06-30,191.6300048828125,194.47999572753903,191.25999450683597,193.97000122070312,191.2882843017578,85213200,AAPL,0,
2023-07-03,193.77999877929688,193.8800048828125,191.75999450683597,192.4600067138672,189.7991485595703,31458200,AAPL,0,
2023-07-05,191.57000732421875,192.97999572753903,190.6199951171875,191.3300018310547,188.6847686767578,46920300,AAPL,0,
2023-07-06,189.83999633789065,192.0200042724609,189.1999969482422,191.80999755859372,189.1581115722656,45094300,AAPL,0,
2023-07-07,191.41000366210935,192.6699981689453,190.2400054931641,190.67999267578125,188.04376220703125,46815000,AAPL,0,
2023-07-10,189.25999450683597,189.9900054931641,187.0399932861328,188.6100006103516,186.00241088867188,59922200,AAPL,0,
2023-07-11,189.16000366210935,189.3000030517578,186.6000061035156,188.0800018310547,185.4797515869141,46638100,AAPL,0,
